PanjivaRecordID,HSCode,ShipmentDestination,ShipperPanjivaID,TransportMethod
4425393,49,26,89,2
4448625,50,24,28,2
4453937,28,24,8,2
4376817,46,26,48,0
4421548,43,6,23,0
4421612,25,24,65,2
4449708,25,24,65,2
4454636,45,29,41,0
4356268,8,24,88,2
4356396,19,8,47,2
4361836,19,8,16,2
4366956,40,6,23,0
4381100,19,8,29,2
4393580,10,10,63,2
4393196,2,24,43,2
4406764,20,8,36,2
4416364,19,8,29,2
4416428,20,8,70,2
4421804,51,24,88,2
4433644,20,8,36,2
4433708,20,8,36,2
4433772,20,8,29,2
4439212,19,8,29,2
4356460,33,22,87,0
4368876,50,22,64,0
4369004,45,22,64,0
4378092,45,22,64,0
4381228,43,22,64,0
4393964,1,29,42,0
4399660,25,27,9,0
4400684,50,22,64,0
4417068,50,22,74,0
4444012,34,27,78,0
4462188,47,22,38,0
4373996,46,22,67,0
4395820,25,17,69,2
4409580,1,22,76,0
4412268,28,24,73,1
4457836,25,1,69,2
4458348,54,24,37,1
4392556,50,4,85,2
4392620,50,4,41,2
4425388,25,26,89,2
4453612,24,15,40,2
4454644,24,29,41,0
4356340,10,10,68,2
4356404,19,8,86,2
4361780,33,9,61,2
4361396,2,24,43,2
4377652,19,8,13,2
4386996,19,8,79,2
4387060,19,8,84,2
4393588,10,10,63,2
4393012,13,6,23,0
4406772,20,8,36,2
4393524,25,24,65,2
4416436,20,8,70,2
4421812,51,24,88,2
4421876,21,10,2,2
4433652,20,8,36,2
4399220,47,26,41,0
4433780,20,8,29,2
4439092,19,8,26,2
4439220,19,8,29,2
4411124,39,24,75,1
4421236,25,24,65,2
4356468,33,22,87,0
4368948,25,22,64,0
4381236,51,22,64,0
4400692,25,22,64,0
4444084,29,6,25,0
4455668,11,22,64,0
4358644,13,24,73,1
4461748,0,22,64,0
4462132,43,22,64,0
4418740,46,22,67,0
4422580,17,29,0,0
4441652,46,22,67,0
4458356,27,24,37,1
4460212,47,22,9,0
4472180,56,24,19,1
4360052,47,5,41,2
4360180,33,24,41,2
4360244,50,20,85,2
4392500,45,13,85,2
4404660,7,15,40,2
4425396,25,26,89,2
4448628,50,24,28,2
4410420,56,26,51,1
4432890,2,24,43,2
4449338,2,24,43,1
4356410,19,8,86,2
4361786,51,9,61,2
4377658,19,8,26,2
4381114,19,8,29,2
4387066,9,28,22,2
4406650,19,8,26,2
4393210,2,24,43,2
4406778,20,8,36,2
4416314,19,8,29,2
4421818,51,24,88,2
4421882,21,10,2,2
4433658,20,8,36,2
4399226,16,26,41,0
4356474,50,22,87,0
4368890,50,22,64,0
4368954,50,22,64,0
4369018,45,22,64,0
4462138,45,22,64,0
4462202,47,22,38,0
4464058,16,22,64,0
4372282,47,6,0,0
4418362,23,24,59,1
4444730,23,24,59,2
4459002,34,22,76,0
4375290,45,26,89,2
4397306,7,24,80,2
4404666,46,24,33,2
4420410,18,23,41,2
4425402,45,26,89,2
4438202,48,25,85,2
4448634,50,24,28,2
4376698,43,26,39,0
4400634,47,22,38,0
4454749,2,24,43,2
4356253,51,24,88,2
4356381,19,8,16,2
4361373,2,24,43,2
4366557,50,27,23,0
4386973,10,10,22,2
4393181,2,24,43,2
4406749,20,8,36,2
4406813,20,8,36,2
4416477,10,10,68,2
4421789,51,24,88,2
4398749,50,27,23,0
4426845,8,8,30,2
4433693,20,8,36,2
4433757,20,8,29,2
4439133,19,8,26,2
4439197,15,8,21,2
4443677,10,10,68,2
4443741,10,10,63,2
4368925,4,22,38,0
4400733,45,22,64,0
4358365,25,24,69,2
4456285,45,22,11,0
4462109,34,22,64,0
4364381,43,29,0,1
4372253,54,24,37,1
4373469,28,4,34,1
4381789,56,26,51,1
4395805,17,17,69,2
4451229,28,25,85,1
4469149,46,22,67,0
4392285,41,4,20,2
4425309,46,24,52,2
4430621,46,24,33,2
4400541,43,22,38,0
4421610,0,6,23,0
4421546,43,6,23,0
4449258,50,26,41,0
4454762,2,24,43,2
4356266,8,24,88,2
4356394,19,8,47,2
4361834,19,8,16,2
4361386,2,24,43,2
4367146,44,27,23,0
4386986,10,10,22,2
4393194,2,24,43,2
4406762,20,8,36,2
4416362,19,8,29,2
4421802,51,24,88,2
4398698,50,27,23,0
4433642,20,8,36,2
4433706,20,8,36,2
