PanjivaRecordID,HSCode,ShipmentDestination,ShipperPanjivaID,TransportMethod
4425393,55,9,89,1
4448625,30,24,28,1
4453937,21,24,8,1
4376817,14,9,48,2
4421548,48,22,23,2
4421612,23,24,65,1
4449708,23,24,65,1
4454636,45,12,41,2
4356268,42,24,88,1
4356396,40,4,47,1
4361836,40,4,16,1
4366956,10,22,23,2
4381100,40,4,29,1
4393580,13,0,63,1
4393196,18,24,43,1
4406764,9,4,36,1
4416364,40,4,29,1
4416428,9,4,70,1
4421804,41,24,88,1
4433644,9,4,36,1
4433708,9,4,36,1
4433772,9,4,29,1
4439212,40,4,29,1
4356460,3,3,87,2
4368876,30,3,64,2
4369004,45,3,64,2
4378092,45,3,64,2
4381228,48,3,64,2
4393964,8,12,42,2
4399660,23,25,9,2
4400684,30,3,64,2
4417068,30,3,74,2
4444012,31,25,78,2
4462188,20,3,38,2
4373996,14,3,67,2
4395820,23,27,69,1
4409580,8,3,76,2
4412268,21,24,73,0
4457836,23,21,69,1
4458348,0,24,37,0
4392556,30,16,85,1
4392620,30,16,41,1
4425388,23,9,89,1
4453612,11,1,40,1
4454644,11,12,41,2
4356340,13,0,68,1
4356404,40,4,86,1
4361780,3,7,61,1
4361396,18,24,43,1
4377652,40,4,13,1
4386996,40,4,79,1
4387060,40,4,84,1
4393588,13,0,63,1
4393012,36,22,23,2
4406772,9,4,36,1
4393524,23,24,65,1
4416436,9,4,70,1
4421812,41,24,88,1
4421876,56,0,2,1
4433652,9,4,36,1
4399220,20,9,41,2
4433780,9,4,29,1
4439092,40,4,26,1
4439220,40,4,29,1
4411124,44,24,75,0
4421236,23,24,65,1
4356468,3,3,87,2
4368948,23,3,64,2
4381236,41,3,64,2
4400692,23,3,64,2
4444084,22,22,25,2
4455668,37,3,64,2
4358644,36,24,73,0
4461748,17,3,64,2
4462132,48,3,64,2
4418740,14,3,67,2
4422580,1,12,0,2
4441652,14,3,67,2
4458356,34,24,37,0
4460212,20,3,9,2
4472180,49,24,19,0
4360052,20,23,41,1
4360180,3,24,41,1
4360244,30,28,85,1
4392500,45,17,85,1
4404660,43,1,40,1
4425396,23,9,89,1
4448628,30,24,28,1
4410420,49,9,51,0
4432890,18,24,43,1
4449338,18,24,43,0
4356410,40,4,86,1
4361786,41,7,61,1
4377658,40,4,26,1
4381114,40,4,29,1
4387066,24,2,22,1
4406650,40,4,26,1
4393210,18,24,43,1
4406778,9,4,36,1
4416314,40,4,29,1
4421818,41,24,88,1
4421882,56,0,2,1
4433658,9,4,36,1
4399226,32,9,41,2
4356474,30,3,87,2
4368890,30,3,64,2
4368954,30,3,64,2
4369018,45,3,64,2
4462138,45,3,64,2
4462202,20,3,38,2
4464058,32,3,64,2
4372282,20,22,0,2
4418362,39,24,59,0
4444730,39,24,59,1
4459002,31,3,76,2
4375290,45,9,89,1
4397306,43,24,80,1
4404666,14,24,33,1
4420410,35,14,41,1
4425402,45,9,89,1
4438202,53,20,85,1
4448634,30,24,28,1
4376698,48,9,39,2
4400634,20,3,38,2
4454749,18,24,43,1
4356253,41,24,88,1
4356381,40,4,16,1
4361373,18,24,43,1
4366557,30,25,23,2
4386973,13,0,22,1
4393181,18,24,43,1
4406749,9,4,36,1
4406813,9,4,36,1
4416477,13,0,68,1
4421789,41,24,88,1
4398749,30,25,23,2
4426845,42,4,30,1
4433693,9,4,36,1
4433757,9,4,29,1
4439133,40,4,26,1
4439197,28,4,21,1
4443677,13,0,68,1
4443741,13,0,63,1
4368925,2,3,38,2
4400733,45,3,64,2
4358365,23,24,69,1
4456285,45,3,11,2
4462109,31,3,64,2
4364381,48,12,0,0
4372253,0,24,37,0
4373469,21,16,34,0
4381789,49,9,51,0
4395805,1,27,69,1
4451229,21,20,85,0
4469149,14,3,67,2
4392285,38,16,20,1
4425309,14,24,52,1
4430621,14,24,33,1
4400541,48,3,38,2
4421610,17,22,23,2
4421546,48,22,23,2
4449258,30,9,41,2
4454762,18,24,43,1
4356266,42,24,88,1
4356394,40,4,47,1
4361834,40,4,16,1
4361386,18,24,43,1
4367146,50,25,23,2
4386986,13,0,22,1
4393194,18,24,43,1
4406762,9,4,36,1
4416362,40,4,29,1
4421802,41,24,88,1
4398698,30,25,23,2
4433642,9,4,36,1
4433706,9,4,36,1
4433770,9,4,29,1
4356458,3,3,87,2
4381226,45,3,64,2
4393962,8,12,42,2
4399658,23,25,9,2
4468650,3,3,10,2
